source_id,query,true_id,category,split
msk_slash,"д. 10/2, улица ленина, г. москва",msk_slash,component_permutation,train
msk_slash,"г.москва,улицаленина,д.10/2",msk_slash,missing_spaces,train
msk_slash,"г. москва, ул. ленина, д. 10/2",msk_slash,abbreviations,train
msk_slash,"г. москва, улица лени., д. 10/2",msk_slash,street_abbreviation,train
msk_slash,"г. москва, улица ленина, д. 10/2",msk_slash,incomplete,train
msk_slash,"г. москва, улица лнеина, д. 10/2",msk_slash,typo,train
msk_tver,"г. москва, улица тверская, д. 7",msk_tver,clean,train
msk_tver,"улица тверская, д. 7, г. москва",msk_tver,component_permutation,train
msk_tver,"г.москва,улицатверская,д.7",msk_tver,missing_spaces,train
msk_tver,"г. москва, ул. тверская, д. 7",msk_tver,abbreviations,train
msk_tver,"г. москва, улица твер., д. 7",msk_tver,street_abbreviation,train
msk_tver,"г. москва, улица тверская, д. 7",msk_tver,incomplete,train
msk_tver,"г. москва, улица теврская, д. 7",msk_tver,typo,train
msk_march,"г. москва, улица 8 марта, д. 12",msk_march,clean,test
msk_march,"улица 8 марта, г. москва, д. 12",msk_march,component_permutation,test
msk_march,"г.москва,улица8марта,д.12",msk_march,missing_spaces,test
msk_march,"г. москва, ул. 8 марта, д. 12",msk_march,abbreviations,test
msk_march,"г. москва, улица 8 марта, д. 12",msk_march,incomplete,test
msk_march,"г. москва, улица 8 амрта, д. 12",msk_march,typo,test
msk_lenpr,"г. москва, проспект ленинградский, д. 7",msk_lenpr,clean,train
msk_lenpr,"д. 7, проспект ленинградский, г. москва",msk_lenpr,component_permutation,train
msk_lenpr,"г.москва,проспектленинградский,д.7",msk_lenpr,missing_spaces,train
msk_lenpr,"г. москва, пр-т ленинградский, д. 7",msk_lenpr,abbreviations,train
msk_lenpr,"г. москва, проспект лени., д. 7",,street_abbreviation,train
msk_lenpr,"г. москва, проспект ленинградский, д. 7",msk_lenpr,incomplete,train
msk_lenpr,"г. москва, проспект лнеинградский, д. 7",msk_lenpr,typo,train
msk_leninpr,"г. москва, проспект ленинский, д. 7",msk_leninpr,clean,validation
msk_leninpr,"проспект ленинский, г. москва, д. 7",msk_leninpr,component_permutation,validation
msk_leninpr,"г.москва,проспектленинский,д.7",msk_leninpr,missing_spaces,validation
msk_leninpr,"г. москва, пр-т ленинский, д. 7",msk_leninpr,abbreviations,validation
msk_leninpr,"г. москва, проспект лени., д. 7",,street_abbreviation,validation
msk_leninpr,"г. москва, проспект ленинский, д. 7",msk_leninpr,incomplete,validation
msk_leninpr,"г. москва, проспект лнеинский, д. 7",msk_leninpr,typo,validation
